202,无效操作员代码
203,无效证券代码
204,申报时间为该证券的非交易时间
208,无效买卖标志，非‘B’或者‘S’
209,交易品种不对
211,此账号不能进行该证券交易
212,价格申报出错
213,证券已被挂起
214,该股票不参与集合竞价
215,无效帐号
216,该帐号未指定在你席位
217,帐号已被挂起
218,无效申报价格
219,申报价不能为零
220,申报价格不符合最小价格步长要求
222,申报价格超出范围
223,申报买入数量必须是1000的整数倍
224,无效的申报数量
225,申报数量必须大于0
226,新股申报数量至少1000
227,申报数量不符合最小步长要求
228,申报数量超过单笔最大允许申报的上限
231,账号可卖出的余额不足
234,股票持有量超出限量
236,PBU没有买入权限
237,PBU没有卖出权限
243,基金帐号\机构帐号不能买卖此证券
244,'S'帐号不能买入
245,不能撤销指定（有卖空股票，请先补回卖空股票）
246,不能撤销指定（有申报）
247,不能撤销指定（公司卖空）
248,中国证券登记结算公司不允许撤销指定
250,B股结算会员代码（数据库接口中的firmid）错，可从中登公司上海分公司查询。
252,无效操作员代码
253,操作员权限不够
257,交易员申报的reqNum序号不连续
263,市价订单不参加集合竞价
264,最优五档即时成交剩余撤销市价订单对手方无未成交订单
265,最优五档即时成交剩余转限价市价订单对手方和本方均无未成交订单
266,该券种不允许做市价订单
267,帐户没有权限进行账户式质押回购的交易及出入库
268,场内报盘对于出入库申报的统一出错代码
269,申报类型错误
270,申报类型错误
271,该帐号已指定在你席位
272,未做指定不能交易
273,E 帐号不能通过场内申报进行交易
274,信用交易的申报帐户必须是E 帐户
275,普通交易的申报帐户必须不是E 帐户
276,该证券不允许担保品买入
277,信用卖出权限不足
278,该证券不允许融资买入
279,卖券还款或融资平仓权限不足
280,买券还券或融券平仓权限不足
281,该证券不允许融券卖出
282,融券卖出申报价格低于最新成交价
283,买券还券、融券卖出、融券平仓申报的信用帐户必须配置证券公司融券专用帐户
401,无效操作员代码
403,无效申报序号
404,撤单对应申报序号检验失败
405,撤单对应的证券帐号检验失败
406,撤单对应的股票代码检验失败
407,撤单对应的买卖方向检验失败
408,对应的申报已经被撤单
409,只能通过买799998撤销指定
410,只能通过买799999重新指定
411,对应的申报已成交，不能撤单
412,不允许撤单
413,撤单失败,对应的申报已成交或者已经被撤单
499,无申报可撤
507,后台应用错误
508,后台架构错误
731,基金公司未上传ETF申购赎回清单
732,ETF状态不对
733,ETF投资者持股不足
734,ETF现金替代比例超过基金公司规定的比例
735,ETF基金账号持股余额不足，投资者不能赎回
736,ETF基金账户不能申购或赎回
752,账户中没有现券
753,账户中现券余额不足
754,账户中没有标准券
755,账户中标准券余额不足
756,账户没有质押券
757,账户的质押券余额不足
758,标准券折算率未初始化
759,标准券代码不存在
1005,登录主机失败
1014,PBU登录失败
1015,修改口令失败
1021,rec_num 必须连续递增
1022,股票代码错误或者非本市场产品
1023,账号错误
1024,买卖方向错误
1025,价格错误
1026,数量错误
1027,日期错误
1028,申报单或撤消单的标志错误
1029,结算会员代码错误
1030,撤消单的ordrec域错误
1031,撤消单的ordrec域大于等于撤消单的rec_num域
1034,撤消的申报单是失败的数据单
1039,刚读入待处理的单子的status是’P’或’p’
1040,刚读入待处理的单子的status不是’R’，也不是’P’
1042,底层通讯接收时发生错
1043,接收到的数据包内容错误
1050,撤消的申报单不存在或者撤单申报的证券代码错误
1100,申报号太大
1101,记录不匹配
1102,营业部代码格式错误，格式必须为1到65535的整数
2000,与交易所的网络连接出错
2001,被撤单的日期不是今天
2004,被撤单的帐号不是本人
2006,撤单记录中被撤单的股票代码与被撤单不一致
2007,撤单记录中被撤单的股票价格不正确，与被撤单不一致
2008,只有申报才可被撤单
2101,撤单记录和被撤单记录的股票买卖方向不同
2102,撤单记录和被撤单记录的股票数量不同
4001,获取参考数据失败
4003,请检查旧口令是否正确，或者新口令长度是否正确
10000,内部错误，请联系上交所
10002,找不到用户
10004,与原有密码不同
10006,请求已经被处理
10008,繁忙,TXN被拒绝。请再试一次
10022,未填写借贷期限
10028,无效的净资产值（NAV）日期
10030,无效的基础产品
10032,未填写基础产品
10038,无效的价格
10042,无效的现金红利股权登记日期
10044,未填写除息日期
10046,无效的除息日期
10048,未填写红利金额
10052,无效的股票红利股权登记日期
10054,未填写除权日期
10056,无效的除权日期
10058,未填写分红率
10062,无效的配股股权登记日期
10066,无效的除权日期
10070,未填写配股价格
10074,未填写股东大会登记日期
10076,无效的股东大会登记日期
10078,未填写股东大会日期
10080,无效的股东大会日期
10084,无效的股票总数量
10086,无效的每股收益（EPS）
10088,无效的期限：借贷天数
10090,国内标识
10092,每股收益（EPS）日期
10096,无效的权证类型
10098,未填写产品简称
10100,无效的产品子类型
10104,无效的产品群名称
10106,无效的产品类型
10108,该国际证券标识码（ISIN）已存在
10112,无效的产品代码
10114,产品删除无效
10116,无效的缺省交易时间表
10118,未找到产品组
10120,产品和产品组不匹配
10126,无效的外部标识
10128,摘牌日无效
10140,无效的产品子类型
10142,错误的时间戳
10144,无效的结算货币
10146,无效的名义货币
10150,未找到记录
10156,无效的订单手数类型
10160,未填写持续时间
10162,未填写启动时间
10172,卖空标识无效
10178,无效的最小披露数量
10182,无效的波动范围
10188,无效的最大剩余数量
10192,无效的整手数
10194,无效的最大订单数量（A）
10200,无效的收盘价计算方法
10202,无效的参考价格
10204,未填写价格上下限
10206,未填写发行数量
10210,借贷期限无效
10218,未填写抽签日期
10220,无效的抽签日期
10222,无效的价格上下限
10224,无效的转换率
10228,无效的最小协商订单数量
10230,无效的产品组代码
10234,产品群未找到
10236,非法时间戳
10238,访问被拒绝
10240,超过最大订单有效期
10242,订单有效期早于当前日期
10244,错误订单有效期
10246,错误产品类型
10248,无法读取该产品
10250,无效交易事务代码
10252,该交易时段内禁用该功能
10254,未分配该产品
10256,未获代理帐户授权
10258,未获做市商帐户授权
10260,未获自有帐户授权
10262,无效订单类型
10264,无效执行限制类型
10266,无效交易限制类型
10268,未获取做市商资格
10270,无效PBU的PBU代码
10272,当前用户不是交易所用户
10274,交易被拒绝: PBU不能在该MISS上交易!
10276,无效报价价格或数量
10278,无效交易限制“SU”
10280,不合理数量
10282,最后修改时间已改变
10286,无效处理日期
10290,PBU无分配产品
10292,无效的日期输入
10294,无效的日期参数
10296,合约ISIN前缀重复
10298,无效的产品关联数据标识或交易员不存在
10302,产品或特许权限不关联到当前子组
10304,资源信息找不到
10306,合约产品缩写前缀重复
10308,该产品已分配特许权限
10310,PBU未分配特许权限
10318,冰山订单最小数量非整手数量
10320,最小披露数量非整手数量
10322,无效的最小报价数量
10324,无效的挂牌首日
10326,无效最小可交易量
10348,无效IPO发行方法
10350,无效是非标识
10352,无效冰山订单最小数量
10354,无效持续时间
10356,无效开始时间
10360,无效价格区间计算方法
10362,无效价格单位
10364,无效交易模型
10366,无法将RAL更新至数据库
10368,无效值间关系
10376,无效的市场代号
10378,无效的交易所代号
10380,产品重复(代号，或简称，或ISIN）
10382,分红参数未输入
10390,无效的成交金额的计算类型
10392,市场处于停盘状态
10394,无效的时段转换代码
10396,无法转换到目标状态
10398,产品无法使用
10400,当前状态无法转换到等待批处理
10402,未找到该市场
10404,状态转换请求已被触发
10406,交易时间表已经处于开启状态
10408,交易时间表已经处于关闭状态
10410,已超过交易结束时段的开始时间
10412,无效的产品状态
10414,无效的转换时间表
10416,PBU已经被删除
10420,无效帐户类型
10424,订单数据已变更
10426,该交易时段内无效执行限制
10428,无效交易限制“OA”
10430,无效交易限制“AU”
10432,无效交易限制“FP”
10434,无效买卖标志
10436,帐户类型不可更改
10438,订单类型无效更改
10440,市价转限价订单不可更改订单价格
10442,无效订单数量及最高揭示数量组合
10444,订单数量小于最低订单数量要求
10446,无效交易员组代码
10448,该交易员不是高级交易员
10450,订单价格超出范围
10454,PBU 已经存在
10456,参与者业务单元没有分配给下一级PBU
10462,无效的总部PBU
10464,存在重复记录
10468,PBU 已经存在
10470,对于找到的交易所没有默认的记录
10472,不存在相关的PBU关系
10476,无效的PBU类型
